,upc,department,product_name,crv_by_05_cents,sell_price,size,upce,has_crv,sugar_column,is_taxable,Images,sugar_tax,img,contains_promotion
12,11132125318,Pets,ALPO Wet:Prime Cuts Homestyle w/Lamb & Rice In Gravy,1.0,1.89,13.20 OZ,,False,False,True,,0,https://i5.walmartimages.com/asr/d0b391fe-c947-4eeb-b9e7-1b24d2d8b708_1.88fdae4e8e9de540c2d8866711ef1af1.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,False
13,11509211323,Health & Wellness,"Aqua Velva Cooling After Shave, Classic",1.0,5.99,3.5 oz,,False,False,True,,0,,False
266,41167100059,Health & Wellness,Rolaids Antacid Regular Strength Mint,1.0,1.89,12 ct,,False,False,True,,0,,False
268,41167412008,Health & Wellness,Allegra Allergy,1.0,11.89,5 ct,,False,False,True,,0,,False
278,41333215013,Household Essentials,Duracell AA 2 PK,1.0,4.39,2 Ea,,False,False,True,,0,https://i5.walmartimages.com/asr/42724983-f82d-4993-8fb5-ce67cbeb2d3f_1.60f9101243f431aaaf6c1c3ccc6587c0.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,False
297,43100055129,Household Essentials,Notebook,1.0,2.49,,,False,False,True,,0,,False
310,43100456445,Household Essentials,Mead  Memo,1.0,1.59,,,False,False,True,,0,,False
333,44600002217,Household Essentials,Pro-Strength Liquid - Plumr Full Clog Destroyer,1.0,5.99,32 Oz,,False,False,True,,0,,False
334,44600002286,Household Essentials,Liquid Plumber,1.0,10.99,2.5l,,False,False,True,,0,,False
471,70330137288,Household Essentials,Bic Ultra Round Stic Grip,1.0,3.49,,,False,False,True,,0,,False
535,71709240011,Household Essentials,Hi Liter Yellow,1.0,1.99,,,False,False,True,,0,,False
563,73190023050,Household Essentials,candles SM 5PK,1.0,3.99,"=""0""",,False,False,True,,0,https://i5.walmartimages.com/asr/d56fe42f-aa14-49ca-9bd9-12cf17440f90_1.bea21a8ea0921044402fbc473424f397.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,False
588,75450191332,Household Essentials,Skew,1.0,2.99,,,False,False,True,,0,,False
593,76171102829,Household Essentials,Little Trees,1.0,1.89,,,False,False,True,,0,,False
596,76183466841,Household Essentials,Snapple Lemonade,1.0,3.29,0.00 OZ,,False,False,True,,0,,False
598,76314302017,Health & Wellness,Emergen-C:Raspberry,1.0,1.89,,,False,False,True,,0,,False
599,76314302024,Health & Wellness,Emergen-C:Tangerine,1.0,1.89,,,False,False,True,,0,,False
600,76314302031,Health & Wellness,Emergen-C:Super Orange,1.0,1.89,,,False,False,True,,0,,False
625,78300070412,Health & Wellness,Stayfree Regular Ultrathin Regular,1.0,7.49,18 Pads,,False,False,True,,0,,False
1187,21136010374,Soda,topo chico: agua mineral,1.0,1.89,16.00 OZ,,True,True,True,,0,https://pics.drugstore.com/prodimg/597187/450.jpg,False
1189,21136016444,Soda,Topo Chico: Grape,1.0,1.89,,,True,True,True,,0,,False
1191,21136110449,Soda,Topo Chico:Lime,1.0,1.89,12.00 FL OZ,,True,True,True,,0,,False
1210,41508302074,Soda,S.Pelkegrino Blood orange & Black Rasp,1.0,1.59,11.15oz,,True,True,True,,0,,False
1222,41508803151,Soda,S.PELLEGRINO ESSENZA 330ML,1.0,1.59,11.15oz,,True,True,True,,0,,False
1283,76183323571,Soda,Snapple Peach Tea,2.0,3.29,32.00 OZ,,True,True,True,,0,,False
1284,76183455128,Soda,Snapple Watermelon,1.0,2.29,,,True,False,True,,0,,False
1373,90478410012,Soda,Jarritos Mandarin,1.0,1.84,12.5oz,,True,True,True,,0,,False
1376,90478410104,Soda,Jarritos Soda Mango,1.0,1.84,12.50 Oz,,True,True,True,,0,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png,False
1618,12546011099,Candies/Bars/Gum,Trident,1.0,1.89,14 ct,,False,False,False,,0,,False
1619,12546011112,Candies/Bars/Gum,Trident Tropical Twist,1.0,1.68,14 Pcs,,False,False,False,,0,,False
1623,12546312417,Candies/Bars/Gum,Dentyne Ice:Arctic Chill - Split 2 Fit Pack,1.0,1.89,24.00 G,,False,False,False,,0,https://i5.walmartimages.com/asr/38af97bd-0559-48cd-b3b1-deeafe1c5786_1.4be7217a48d380af7a5d8ef904788132.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,False
1624,12546312554,Candies/Bars/Gum,Dentyne Ice: Peppermint- Split 2 Fit Pack,1.0,1.89,24.00 G,,False,False,False,,0,,False
1625,12546315012,Candies/Bars/Gum,Dentyne Ice:Spearmint 16 Pieces,1.0,1.89,1.00 PK,,False,False,False,,0,,False
1626,12546315098,Candies/Bars/Gum,Dentyne Fire Spicy Cinnamon,1.0,1.89,24.00 G,,False,False,False,,0,,False
1628,12546676090,Candies/Bars/Gum,Trident White Peppermint,1.0,1.89,24.00 G,,False,False,False,,0,,False
1629,12546676113,Candies/Bars/Gum,Trident White Spearmint 16 Pieces,1.0,1.89,1.00 PK,,False,False,False,,0,,False
1631,12546676397,Candies/Bars/Gum,Trident White Cool Rush 16 Pieces,1.0,1.89,1.00 PK,,False,False,False,,0,,False
1644,13562000043,Food,Annie's Homegrown: Shells White Cheddar,1.0,3.49,6 oz,,False,False,False,,0,,False
1645,13562000456,Food,Annie's Homegrown:Original Mac & Cheese (Blue),1.0,3.49,6 oz,,False,False,False,,0,,False
1648,13562300600,Food,Annie's Homegrown:Bunny Pasta & Cheese,1.0,3.49,6 oz,,False,False,False,,0,,False
1649,13562300624,Food,Annie's Homegrown:Family Size: Shells White Cheddar,1.0,4.99,10.5 oz,,False,False,False,,0,,False
1652,13562300846,Food,Annie's Homegrown:Shells Aged Wisconsin Chedder (Orange),1.0,3.49,6 oz,,False,False,False,,0,https://pics.drugstore.com/prodimg/226920/450.jpg,False
2139,28400064088,Food,Tostitos:Scoops!,1.0,4.79,10.00 OZ,,False,False,False,,0,,False
2153,28400147392,Chips,Sun Chips Harvest Cheddar,1.0,3.59,7 oz,,False,False,False,,0,https://pics.drugstore.com/prodimg/562014/450.jpg,False
2155,28400147415,Chips,Sun Chips:Original,1.0,3.59,7.00 OZ,,False,False,False,,0,,False
2174,28400261531,Nuts/Seeds,Sabritas pea nuts 1 5/8,1.0,0.69,1 5/8,,False,False,False,,0,,False
2175,28400261548,Nuts/Seeds,Sabritas,1.0,0.69,1.58 oz,,False,False,False,,0,,False
2176,28400261555,Nuts/Seeds,Sobritas peanut 46g,1.0,0.69,46g,,False,False,False,,0,,False
2177,28400261562,Nuts/Seeds,Frito: Sunflower Ranch,1.0,0.69,1 3/4oz,,False,False,False,,0,,False
2178,28400261579,Nuts/Seeds,Sunflwer seed orginal,1.0,0.69,"=""1.34""",,False,False,False,,0,,False
2179,28400261609,Nuts/Seeds,SUNFLOWER BBQ,1.0,0.69,,,False,False,False,,0,,False
2180,28400261630,Nuts/Seeds,Fritolay sunflower seeds,1.0,0.69,.2oz,,False,False,False,,0,,False
2181,28400261654,Nuts/Seeds,Frito: Flaming hot Lime Extra Long,1.0,0.69,1.34 oz,,False,False,False,,0,,False
2233,28400435031,Food,Cheetos Puff,1.0,1.89,3.75 Oz,,False,False,False,,0,,False
2236,28400437899,Food,Smartfood White Cheddar Popcorn,1.0,1.89,2.25 Oz,,False,False,False,,0,,False
2239,28400516310,Chips,Dorito:Cool Ranch,1.0,4.79,9oz,,False,False,False,,0,,False
2240,28400516464,Chips,Dorito,1.0,4.79,9oz,,False,False,False,,0,https://products.blains.com/600/42/428711.jpg,False
2241,28400516471,Chips,Doritos,1.0,4.79,9oz,,False,False,False,,0,,False
2243,28400516853,Chips,Ruffles: Sour cream,1.0,4.79,8oz,,False,False,False,,0,,False
2246,28400517942,Chips,Tostitos: hint of lime,1.0,4.79,,,False,False,False,,0,,False
2257,28400589284,Chips,Fritos Chill Cheese,1.0,4.49,big,,False,False,False,,0,,False
2260,28400589864,Chips,Cheetos Crunchy,1.0,4.49,8.5 Oz,,False,False,False,,0,,False
2274,28400652759,Nuts/Seeds,Sunflower Seeds Original,1.0,0.69,1.3 oz,,False,False,False,,0,,False
