,upc,department,product_name,crv_by_05_cents,Price,size,upce,has_crv,sugar_column,is_taxable,Images,sugar_tax,contains_promotion
139,12044013311,Health & Wellness,Old Spice Game Day,1.0,7.49,3oz,01233101,False,False,True,,0,False
140,12044039939,Health & Wellness,Old Spice Re Fresh Wolfthorn,1.0,9.29,3.75 Oz,01299309,False,False,True,,0,False
295,14657811087,Health & Wellness,"Binaca Aeroblast, Spearmint",1.0,4.69,0.214 oz,,False,False,True,,0,False
467,17000046204,Health & Wellness,Dial For Men:Ultimate Clean w/Clean Rinsing Technology,1.0,9.69,16.00 FL OZ,01762004,False,False,True,,0,False
468,17000068077,Health & Wellness,Right Guard:Total Defense 5 Power Gel Fresh Blast,1.0,6.99,4.00 OZ,01780707,False,False,True,,0,False
471,17000120027,Health & Wellness,Dial Omega Moisture,1.0,9.69,16 Oz,01700207,False,False,True,,0,False
497,19200771825,Household Essentials,Lysol Disinfecting Wipes,1.0,7.99,"=""80""",01918225,False,False,True,,0,False
627,22200954402,Health & Wellness,Lady Speed Stick Invisible Dry,1.0,5.49,2.3 Oz,02244022,False,False,True,,0,False
632,22600184621,Health & Wellness,Arrid XX:Extra Extra Dry Ultra Fresh Solid,1.0,5.49,2.70 OZ,,False,False,True,,0,False
763,25866591936,Health & Wellness,Aleve Liquid Gels 20ct,1.0,8.29,,,False,False,True,,0,False
764,25866591981,Health & Wellness,Aleve Tab 24CT,1.0,7.89,,,False,False,True,,0,False
1078,31262099747,Health & Wellness,Mask,1.0,10.89,,03197427,False,False,True,,0,False
1160,35000460462,Health & Wellness,Colgate Total Paste White,1.0,4.99,3.3oz,03504602,False,False,True,,0,False
1161,35000463739,Health & Wellness,Colgate Fresh Mint Stripe,1.0,6.99,,03537309,False,False,True,,0,False
1176,35000976529,Health & Wellness,Colgate Optic White Renewal,1.0,6.99,4.1oz,03565209,False,False,True,,0,False
1304,37000974642,Health & Wellness,Olay Ultra Moisture sea butter,1.0,11.29,22oz,03746402,False,False,True,,0,False
1654,41100811226,Health & Wellness,A AND D,1.0,5.29,1.5 oz,,False,False,True,,0,False
2008,43100631408,Household Essentials,Index Card Color,1.0,2.49,,,False,False,True,,0,False
2089,44600309668,Household Essentials,Clorox Germicidal Regular Bleach,1.0,8.99,121 oz,,False,False,True,,0,False
2115,45893072253,Health & Wellness,Suave HBL:Vitamin E,1.0,5.99,18.00 FL OZ,,False,False,True,,0,False
2140,47400073715,Health & Wellness,Gillette March 3,1.0,24.99,"=""5""",,False,False,True,,0,False
2142,47400130708,Health & Wellness,Gillette Sensitive Skin w/Soothing Aloe Shave Gel,1.0,4.99,7 Oz,,False,False,True,,0,False
2145,47400156579,Health & Wellness,Gillette Fusion Refill Razor Cartridges,1.0,29.99,4 CT,,False,False,True,,0,False
2149,47400658868,Health & Wellness,Gillette Fusion 5,1.0,28.99,,,False,False,True,,0,False
2150,47400664685,Household Essentials,Gillette Ultimate protection,1.0,4.99,,,False,False,True,,0,False
2493,67990600139,Health & Wellness,Fresh Scent Aqua Net Extra Super Hold,1.0,4.99,11 Oz,,False,False,True,,0,False
2496,70030132392,Health & Wellness,CHEW ASPIRIN 81 MG,1.0,3.99,36ct,07023902,False,False,True,,0,False
2596,70501029268,Health & Wellness,Neutrogena Ocen Mist,1.0,9.99,,,False,False,True,,0,False
2597,70501611609,Health & Wellness,Neutrogena:Original Formula,1.0,9.99,16.00 OZ,,False,False,True,,0,False
2598,70501729038,Health & Wellness,Rainbath  pear green,1.0,9.99,,,False,False,True,,0,False
2643,70792205020,Household Essentials,Helping Hand Box Cutter,1.0,2.99,,,False,False,True,,0,False
2647,70792400708,Household Essentials,Combo Lock,1.0,5.39,,,False,False,True,,0,False
2769,71709178871,Household Essentials,Avery Marks-A-Lot Regular Permanent Marker - 4.5 mm Marker Point Size - Chisel Marker Point Style - Red Ink - 1 / Pack,1.0,2.49,,,False,False,True,,0,False
2809,72032119609,Health & Wellness,Sapphire Nail File,1.0,2.89,5in,07296009,False,False,True,,0,False
2816,72067338822,Household Essentials,Ticonderoga The World's Best Pencil,1.0,2.99,,07288202,False,False,True,,0,False
2979,74300008035,Health & Wellness,Visine:Visine Original,1.0,8.29,0.50 OZ,,False,False,True,,0,False
3358,78300331445,Health & Wellness,Tek Travel Case,1.0,2.69,,,False,False,True,,0,False
3388,79184311233,Household Essentials,10 Pencils,1.0,2.99,10 ct,,False,False,True,,0,False
3389,79184440032,Household Essentials,Sraple Remover,1.0,2.49,,,False,False,True,,0,False
3408,79400115010,Household Essentials,Axe:Excite,1.0,9.29,4.00 OZ,,False,False,True,,0,False
3415,79400507303,Health & Wellness,Dove:Original Clean,1.0,4.99,2.60 OZ,,False,False,True,,0,False
3443,80878191352,Health & Wellness,Pantene 5 in 1 Shampoo,1.0,14.99,38.2 fl oz,,False,False,True,,0,False
3444,80878191369,Health & Wellness,Panten 5 in 1 conditioner,1.0,14.99,38.2 oz,,False,False,True,,0,False
3643,87508037585,Household Essentials,Mechanical pencils,1.0,2.99,8ct,,False,False,True,,0,False
3805,96619475742,Household Essentials,Krikland uncented tissue,1.0,1.99,,,False,False,True,,0,False
3868,300410101305,Health & Wellness,OralB Floss Pick Cool Mint,1.0,4.99,75ct,0,False,False,True,,0,False
3869,300410103163,Health & Wellness,Oral-B Brush,1.0,2.49,"=""1""",0,False,False,True,,0,False
3892,301490039298,Health & Wellness,PeptoBismol Max Strength Liquid,1.0,11.29,8 oz,0,False,False,True,,0,False
3895,305210013001,Health & Wellness,Pond's:Cool Classic,1.0,9.99,3.50 OZ,0,False,False,True,,0,False
3907,305730150309,Health & Wellness,Advil Ibuprofen Tablets 200 mg Pain Reliever,1.0,8.29,50 ct,0,False,False,True,,0,False
3934,312547427258,Health & Wellness,Listerine Cool Mint:Antiseptic,1.0,8.49,1.05 PT,0,False,False,True,,0,False
3939,312843061323,Health & Wellness,Bayer low Dose Aspirin 81 mg,1.0,4.99,32 ct,0,False,False,True,,0,False
3959,363824008202,Health & Wellness,"Mucinex:Expectorant, 600 mg Tablets",1.0,21.99,20 CT,0,False,False,True,,0,False
3966,378112011048,Health & Wellness,"Chloraseptic Sore Throat Spray, Menthol, 6 oz",1.0,9.69,6 oz,0,False,False,True,,0,False
3973,381370044314,Health & Wellness,"Band-Aid :Flexible Fabric - 3/4"""" x 3"""" / 1.9 cm x 7.6cm",1.0,6.49,30.00 CT,0,False,False,True,,0,False
3984,381370092193,Health & Wellness,Reach:Clean Burst Cinnamon Waxed,1.0,2.89,55.00 YD,0,False,False,True,,0,False
3985,381371161232,Health & Wellness,Band-Aid Johnson & Johson Small Gauze Pads,1.0,2.49,10 Pads,0,False,False,True,,0,False
3990,381519181252,Health & Wellness,Herbal Essence Herbal Mococcan,1.0,6.99,10.1 Oz,0,False,False,True,,0,False
4106,617135861224,Health & Wellness,rhino,1.0,12.99,1 pk,0,False,False,True,,0,False
4133,632930328390,Health & Wellness,Happy day 5000,1.0,13.99,,0,False,False,True,,0,False
4201,648054512010,Household Essentials,Smart Cook Cortsdor de queso,1.0,6.99,"=""0""",0,False,False,True,,0,False
4223,653341363442,Health & Wellness,Rhino King,1.0,14.99,,0,False,False,True,,0,False
4224,653341363541,Health & Wellness,Rhino King 20000,1.0,14.99,,0,False,False,True,,0,False
4253,655708010358,Health & Wellness,Tissue 3ply Individual,1.0,1.79,10ct,0,False,False,True,,0,False
4254,655708010365,Health & Wellness,Select Tissues 6pk,1.0,8.99,6pk,0,False,False,True,,0,False
4302,678112736232,Health & Wellness,Murine Ear Drops,1.0,9.39,0.5 OZ,0,False,False,True,,0,False
4386,713091518933,Household Essentials,Iphone Earphone,1.0,12.99,,0,False,False,True,,0,False
4705,750557002018,Household Essentials,Scissors 4 1/2 in,1.0,2.99,,0,False,False,True,,0,False
4712,750557404027,Household Essentials,All Purpose Thread,1.0,2.99,12ct,0,False,False,True,,0,False
4799,764608003169,Household Essentials,Stainless Steel Ruler,1.0,1.99,"=""1""",0,False,False,True,,0,False
4805,764608032008,Household Essentials,Single Punch hole,1.0,4.99,"=""1""",0,False,False,True,,0,False
4863,767556840015,Household Essentials,Folding Umbrella,1.0,5.29,20 Ct,0,False,False,True,,0,False
4986,808829040210,Health & Wellness,Pocket Tissues 8pk,1.0,8.99,8.00 ct,0,False,False,True,,0,False
5692,871936006738,Household Essentials,A+ 2 Flourescent Pen,1.0,3.49,,0,False,False,True,,0,False
5711,883484333532,Health & Wellness,Pert Plus:Classic Clean,1.0,5.59,13.50 OZ,0,False,False,True,,0,False
5722,885490030160,Health & Wellness,Epsom Salt Muscle Back,1.0,2.59,16oz,0,False,False,True,,0,False
5924,8710447284148,Health & Wellness,Axe,1.0,4.99,,0,False,False,True,,0,False
5938,8999999020354,Health & Wellness,Vaseline Cocoglow Moisture Lotion,1.0,2.99,100ml,0,False,False,True,,0,False
49,12000204951,Soda,Mtn Dew Watermelo,1.0,2.29,20oz,01249501,True,False,True,,0,False
322,70847012474,Energy,Monster Energy Zero Ultra,1.0,2.99,16.00 FL OZ,,True,False,True,,0,False
401,78000011814,Soda,7 UP:Diet 12 Oz,12.0,9.99,12.00 PK,07818104,True,False,True,,0,False
529,610764262288,Energy,Bang Frose Rose,1.0,2.99,16oz,0,True,True,True,,0,False
531,610764863119,Energy,BANG PURPLE GUAVA PEAR,1.0,2.99,16oz,0,True,True,True,,0,False
535,610764863775,Energy,bang Black Cherry Vanilla,1.0,2.99,16oz,0,True,True,True,,0,False
691,818094004954,Energy,Rockstar Pure Zero,1.0,2.99,16oz,0,True,False,True,,0,False
695,818094005784,Energy,Rockstor Lemonade,1.0,2.99,16oz,0,True,True,True,,0,False
696,818094005791,Energy,Rockstar Orange,1.0,2.99,16iz,0,True,True,True,,0,False
697,818094005869,Energy,Rockstar Org Island Fruit,1.0,2.99,16oz,0,True,True,True,,0,False
127,12000181467,Teas/coffees,StarbucksTosted White Chocolate,1.0,4.94,"=""1""",01214607,True,False,False,,0,False
130,12000190216,Teas/coffees,Starbucks BrownButter Caramel,1.0,4.94,"=""0""",01202106,True,False,False,,0,False
132,12000205927,Teas/coffees,starbucks Chocolate churro,1.0,4.94,13.7oz,01259207,True,False,False,,0,False
1570,39978033918,Food,Bobs Red Mill Baking Soda,1.0,4.15,,,False,False,False,,0,False
1578,39978039187,Food,Bob Red mill Cornmeal,1.0,5.49,,,False,False,False,,0,False
1587,39978049605,Food,Bobs Red Mill Org Still Cut Oats,1.0,5.99,1 lb,,False,False,False,,0,False
2303,50700246727,Frozen Food,Green Beans,1.0,2.29,,,False,False,False,,0,False
2405,52100039565,Food,McCormic Curry Powder,1.0,5.99,,,False,False,False,,0,False
2576,70462002874,Candies/Bars/Gum,sourpatch kids tropical,1.0,2.49,3.5oz,,False,False,False,,0,False
2582,70462431421,Candies/Bars/Gum,Sour Patch Bags: Sweet Extreme,1.0,2.49,4.00 OZ,,False,False,False,,0,False
2624,70662087237,Food,Nissin:Teriyaki Beef Flavor,1.0,1.99,4.00 OZ,,False,False,False,,0,False
2894,73210000115,Food,Star:Extra Virgin,1.0,8.99,16.90 FL OZ,07301125,False,False,False,,0,False
3024,74570650576,Dairy,Haagen-Dazs:Vanilla Bean,1.0,6.99,1.00 PT,,False,False,False,,0,False
3117,75810001257,Food,"San-J:Wheat Free Soy Sauce, Organic Tamari",1.0,6.69,10.00 OZ,,False,False,False,,0,False
3347,78255009116,Dairy,Producers: whipped cream,1.0,4.99,15oz,07891126,False,False,False,,0,False
3495,83791191690,Chips,Zapps vood,1.0,3.39,,,False,False,False,,0,False
3589,86700671269,Chips,Sunridge Chile Picante PlantainChips,1.0,6.99,,,False,False,False,,0,False
4856,766529235704,Dairy,Petaluma farm mozzarella,1.0,8.99,,0,False,False,False,,0,False
5238,837654536704,Food,Off the farm,1.0,3.39,,0,False,False,False,,0,False
5360,851770006064,Dairy,Orgain Clean Protein,1.0,2.99,11oz,0,False,False,False,,0,False
5361,851770006163,Dairy,Orgain Plant Protein,1.0,2.99,11oz,0,False,False,False,,0,False
5742,888109010676,Food,Hostess Jumbo Honey Bun,1.0,2.49,4.75oz,0,False,False,False,,0,False
5744,888109050023,Food,Hostess Donettes Frosted,1.0,2.29,3.00 OZ,0,False,False,False,,0,False
5815,894693002133,Frozen Food,CheeseQuakes Pumpkin Spice,1.0,6.69,,0,False,False,False,,0,False
5910,8001440133701,Food,Cirio Sweet Corn,1.0,1.99,10oz,0,False,False,False,,0,False
298,52000338324,Water/Juices,Gatorade:G Series Perform Lemon Lime,2.0,4.89,64.00 OZ,05283204,True,True,False,,0,False
466,82592011336,Water/Juices,Naked Blueberry Banana Protein,1.0,4.59,,,True,True,False,,0,False
468,82592011480,Water/Juices,Naked Rainbo,1.0,3.94,,,True,True,False,,0,False
666,786162010001,Water/Juices,Glaceau Vitamin Water:power-C - dragonfruit,1.0,2.94,20.00 FL OZ,0,True,False,False,,0,False
678,811184030208,Kombucha,Health Ade Mint Limeade,1.0,4.59,16oz,0,False,True,False,,0,False
