,upc,department,product_name,crv_by_05_cents,sell_price,size,upce,has_crv,has_sugar_tax,has_sales_tax,sugar_tax,contains_promotion,img
13,11509211323,Health & Wellness,"Aqua Velva Cooling After Shave, Classic",1.0,5.99,3.5 oz,,False,False,True,0,False,
14,12044000236,Health & Wellness,"Old Spice Invisible Solid, Original Scent, 3 oz",1.0,7.99,3 oz,01202306,False,False,True,0,False,
62,21200010231,Household Essentials,Scotch Magic Tape,1.0,2.99,1pc,02102321,False,False,True,0,False,
65,21200011139,Household Essentials,Scotch Tape,1.0,4.79,,02111329,False,False,True,0,False,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png
71,22200930086,Health & Wellness,"Speed Stick Clear Deodorant, Ocean Surf",1.0,5.49,3 oz,02200826,False,False,True,0,False,
132,35000463760,Household Essentials,Colgate,1.0,5.49,,03537600,False,False,True,0,False,
146,36000010039,Health & Wellness,Kotex:Natural Balance Regular,1.0,7.49,24.00 CT,03600309,False,False,True,0,False,
169,37000061946,Household Essentials,Head & Shoulder Classic Clean Shampoo,1.0,11.69,13.5 Oz,03719406,False,False,True,0,False,
188,37000306559,Health & Wellness,Always:Ultra Thin - Flexi-Wings,1.0,7.29,18.00 CT,03765509,False,False,True,0,False,
204,37000598534,Health & Wellness,Crest 3D White,1.0,5.49,,03785304,False,False,True,0,False,
209,37000733447,Health & Wellness,Head & Shoulder,1.0,10.99,12.8oz,03734407,False,False,True,0,False,
268,41167412008,Health & Wellness,Allegra Allergy,1.0,11.89,5 ct,,False,False,True,0,False,
278,41333215013,Household Essentials,Duracell AA 2 PK,1.0,4.39,2 Ea,,False,False,True,0,False,https://i5.walmartimages.com/asr/42724983-f82d-4993-8fb5-ce67cbeb2d3f_1.60f9101243f431aaaf6c1c3ccc6587c0.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff
297,43100055129,Household Essentials,Notebook,1.0,2.49,,,False,False,True,0,False,
333,44600002217,Household Essentials,Pro-Strength Liquid - Plumr Full Clog Destroyer,1.0,5.99,32 Oz,,False,False,True,0,False,
334,44600002286,Household Essentials,Liquid Plumber,1.0,10.99,2.5l,,False,False,True,0,False,
464,70066116045,Health & Wellness,THREE FLOWERS BRILL,1.0,5.59,118ml,07060405,False,False,True,0,False,
471,70330137288,Household Essentials,Bic Ultra Round Stic Grip,1.0,3.49,,,False,False,True,0,False,
535,71709240011,Household Essentials,Hi Liter Yellow,1.0,1.99,,,False,False,True,0,False,
563,73190023050,Household Essentials,candles SM 5PK,1.0,3.99,"=""0""",,False,False,True,0,False,https://i5.walmartimages.com/asr/d56fe42f-aa14-49ca-9bd9-12cf17440f90_1.bea21a8ea0921044402fbc473424f397.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff
