upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,
499127920009,Fresh Produce,1,129,n,n,Lemon,,y,n,1,
499127930008,Fresh Produce,1,269,n,n,Hass Avacado,,,n,1,
499127930015,Fresh Produce,1,159,n,n,Pears,,,n,1,
499127930022,Fresh Produce,1,999,n,n,Org. Strawbery,,,n,1,
499127930039,Fresh Produce,1,999,n,n,Strawbry,,,n,1,
499127930046,Fresh Produce,1,899,n,n,Org. Raspberry,,,n,1,
499127930053,Fresh Produce,1,899,n,n,Blueberries,,,n,1,
499127930060,Fresh Produce,1,999,n,n,Org. Blueberries,,,n,1,
499127930077,Fresh Produce,1,299,n,n,Org. Mango,,,n,1,
499127930084,Fresh Produce,1,299,n,n,Org. Cucumber,,,n,1,
499127930091,Fresh Produce,1,799,n,n,Raspberry,,,n,1,
499127930107,Fresh Produce,1,799,n,n,Org.Bell Mush,,,n,1,
499912790015,Fresh Produce,1,189,n,n,Org. Fuji Apl,,,n,1,
499912790022,Fresh Produce,1,69,n,n,Lime,,,n,1,
499912790039,Food,1,2099,n,n,Teton 100% GF Berf,,,n,1,
499912790046,Fresh Produce,1,179,n,n,Org. Navel,,,n,1,
499912790053,Fresh Produce,1,175,n,n,Org. Gala Apple ,,,n,1,
499912790060,Fresh Produce,1,179,n,n,Org. Peach,,,n,1,
247073000005,Food,1,2799,n,n,Org beef smoked Sausage,,,n,1,
47000100,Dairy,1,229,n,n,Chobani peach,,,n,1,
67953837,Food,1,599,n,n,Marys: evertng,,,n,1,
75004699,Soda,1,249,n,n,Coke,500ml,,n,2,
80052760,Candies/Bars/Gum,1,199,n,n,Kinder BuEno,,,n,1,
000086928458,Water/Juices,1,159,n,n,Uludag Gazoz:Efsane,250 ml,,n,2,
000086931960,Water/Juices,1,159,n,n,Uludag Gazoz:Orange,250 ml,,n,2,
90579301,Household Essentials,1,1299,n,n,Swiffer,32ct,,n,1,
91246370,Household Essentials,1,269,n,n,Bounce: 15 Sh,15 Sheet,,n,1,
91496461,Household Essentials,1,1299,n,n,Swiffer,,,n,1,
000360000061,Health & Wellness,1,599,n,n,Eco Dent,,,n,1,
003619212000,Water/Juices,1,1389,n,n,Santa Cruz Organic :Apple Juice Jug,32 fl. oz.,,n,2,
003619212239,Water/Juices,1,589,n,n,Santa Cruz Organic :Orange Mango  ,32 fl. oz.,,n,2,
007276201216,Food,1,879,n,n,Familia Swiss:Original Swiss Muesli,32oz,,n,1,
008274000054,Soda,1,200,n,n,Reed's:Raspberry Ginger ,12 fl. oz.,,n,1,
008274000061,Soda,1,200,n,n,Reed's:Original Ginger Ale,12 fl. oz.,,n,1,
008274000078,Soda,1,200,n,n,Reed's:Extra Ginger ,12 fl. oz.,,n,1,
008274000092,Soda,1,200,n,n,Reed's:Premium Ginger ,12 fl. oz.,,n,1,
008274004687,Soda,1,200,n,n,Reed's:Strongest Ginger Beer,12 fl. oz.,,n,1,
008274111118,Soda,1,779,n,n,Reed's:Jamaican Style,4.00 EA,,n,4,
008274234152,Food,1,199,n,n,"Reed's:Ginger Candy, Chews",2.00 OZ,,n,1,
008274444445,Soda,1,779,n,n,"Reeds:Ginger Beer, Jamaican Style",4.00 EA,,n,4,
008274484847,Soda,1,779,n,n,Reeds: Strong Ginger Beer,4 Pk,,n,4,
009386900072,Food,1,639,n,n,Sahale Snacks:Pomegranate Pistachio,4 oz,,n,1,
009386900508,Food,1,639,n,n,Sahale Snacks:Almond Honey,4 oz,,n,1,
009437950056,Food,1,1099,n,n,Mid East:Sesame Butter Tahini,32 oz,,n,1,
009542015343,Food,1,379,n,n,Lindt: Excellence Blackberry w/Acai,3.5 oz,,n,1,
009542015350,Food,1,379,n,n,Lindt: Classic Salted Pretzel,3.5 oz,,n,1,
009542015633,Food,1,629,n,n,Lindt: Truffles - Dark Caramel w/Sea Salt,,,n,1,
009542031695,Candies/Bars/Gum,1,379,n,n,Lindt:Excellence: 78%,3.5oz,,n,1,
009542034870,Candies/Bars/Gum,1,379,n,n,Lindt:Excellence: 95%,2.8oz,,n,1,
009800000227,Candies/Bars/Gum,1,199,n,n,Raffaello:Confetteria,1.00 OZ,y,n,1,
009800000524,Candies/Bars/Gum,1,199,n,n,Kinder 1,"=""1""",,n,1,
009800007608,Candies/Bars/Gum,1,169,n,n,Tic Tac:Fruit Adventure,1.00 OZ,,n,1,
009800007615,Food,1,169,n,n,Tic Tac Freshmints,1.00 OZ,,n,1,
009800007639,Candies/Bars/Gum,1,169,n,n,Tic Tac Orange,1.00 OZ,,n,1,
009800123018,Candies/Bars/Gum,1,199,n,n,Ferrero Rocher:Fine Hazelnut Chocolates,1.30 OZ,y,n,1,
009800800056,Candies/Bars/Gum,1,199,n,n,Nutella:Nutella & Go Cups,1.8oz,,n,1,
009800895007,Food,1,539,n,n,Nutella:Chocolate Hazalnut Spread ,13 oz,,n,1,
009800895250,Food,1,929,n,n,Nutella:Chocolate Hazalnut Spread ,26.5oz,,n,1,
010082890093,Food,1,269,n,n,GI KB Pork Jerky,,,n,1,
010497301818,Frozen Food,1,2299,n,n,Orange Chiken,,,n,1,
010700000224,Candies/Bars/Gum,1,149,n,n,Jolly Rancher Bites Awesome Twosome,1.80 oz,y,n,1,
010700021526,Candies/Bars/Gum,1,229,n,n,Milk Duds:Chocolate Covered Caramels,5.00 OZ,y,n,1,
010700060808,Candies/Bars/Gum,1,149,n,n,Heath:Toffee Bar,1.40 OZ,,n,1,
010700088079,Candies/Bars/Gum,1,149,n,n,Good & Plenty Licorice Candy,1.80 OZ,,n,1,
010700807274,Candies/Bars/Gum,1,229,n,n,PayDay:King Size,3.40 OZ,y,n,1,
010878850317,Food,1,1399,n,n,Ling Ling potstickers ,,,n,1,
010878938800,Food,1,1399,n,n,Ling Ling PS,,,n,1,
010900000154,Household Essentials,1,709,n,n,Reynolds Wrap Aluminum Foil:Aluminum Foil,75.00 SQ FT,,n,1,
010900000215,Household Essentials,1,699,n,n,Reynolds Wrap Aluminum Foil:Heavy Duty,50.00 SQ FT,,n,1,
010900003834,Household Essentials,1,169,n,n,Reynolds Baking Cups:Foil 2.5,32.00 CT,,n,1,
010900005104,Household Essentials,1,329,n,n,Reynolds Turkey Size,2.00 CT,,n,1,
010900005319,Household Essentials,1,349,n,n,Reynolds:Large Size,5.00 CT,,n,1,
010900080316,Household Essentials,1,349,n,n,Reynolds Wrap Aluminum Foil:Aluminum Foil,30.00 SQ FT,,n,1,
010900743310,Household Essentials,1,569,n,n,Reynolds Parchment Paper,,,n,1,
011111638068,Health & Wellness,1,289,n,n,Dove,,,n,1,
011132125318,Pets,1,189,n,n,ALPO Wet:Prime Cuts Homestyle w/Lamb & Rice In Gravy,13.20 OZ,,n,1,
011140002458,Food,1,199,n,n,Golden Brown hashbrown Potates,,,n,1,
011140425004,Food,1,299,n,n,Pdaho Spuds Classic,13.3 Oz,,n,1,
011210000018,Food,1,259,n,n,Tabasco Sauce,2 oz,,n,1,
011210009714,Food,1,249,n,n,Tabasco Green Pepper Sauce,2.00 FL OZ,,n,1,
011259806862,Water/Juices,1,269,n,n,Taste Nirvana:Real Coconut Water (Glass),9.5 fl. oz.,,n,1,
011259806886,Water/Juices,1,269,n,n,Taste Nirvana:Real Coconut Water with Pulp (Glass),9.5 fl. oz.,,n,1,
011259904209,Water/Juices,1,299,n,n,Taste Nirvana:Real Coconut Water Can ,16.2 fl. oz.,,n,1,
011259904223,Water/Juices,1,299,n,n,Taste Nirvana:Real Coconut Water With Pulp Can ,16.2 fl. oz.,,n,1,
011259904247,Water/Juices,1,499,n,n,Taste Nirvana:Real Coconut Water Glass Bottle,23.6 fl. oz.,,n,1,
011259907170,Water/Juices,1,499,n,n,Taste Nirvana,,,n,1,
011509211323,Health & Wellness,1,549,n,n,"Aqua Velva Cooling After Shave, Classic",3.5 oz,,n,1,
012000000133,Soda,1,120,n,n,Pepsi Cola,12 oz,,n,1,
012000001291,Soda,1,249,n,n,Pepsi Cola,20.00 OZ,,n,1,
012000001314,Soda,1,225,n,n,Mountain Dew,20.00 OZ,,n,2,
012000001345,Soda,1,204,n,n,Mountain Dew Diet,20.00 OZ,,n,2,
012000001666,Soda,1,120,n,n,Mountain Dew Diet:Soda,12.00 OZ,,n,1,
012000001772,Drinks,1,329,n,n,Starbucks Doubleshot Espresso & Cream,6.50 FL OZ,,n,1,
012000001802,Teas/coffees,1,364,n,n,Starbucks Frappuccino Coffee,13.70 OZ,,n,1,
